,country,year,kind,title,sid
28938,Japan,2020,TV Show,The Hottest Place in Japan Where Takeru Sato Goes Once a Week With Ryunosuke Kamiki / Dori Sakurada,36792
28939,Japan,2017,Movie,Tsuki to Kaminari,17296
28954,Japan,2010,Drama Special,Kiseki no Doubutsuen,5696
28955,Japan,2014,Drama Special,Cabin Attendant Keiji -New Yorksatsujin Jiken-,9642
28956,Japan,2005,Drama Special,Calling You,5276
28957,Japan,2014,Movie,Cardfight!! Vanguard the Movie: A Game of Three,9308
28962,Japan,2013,Drama,Real Life Chamber Escape Game: Chamber Girl,9811
28969,Japan,2015,Drama Special,The Driver,13066
28970,Japan,2017,Movie,Alley Cat,18129
28972,Japan,1978,Movie,J.A.K.Q. Dengekitai vs. Goranger,7791
28973,Japan,1988,Drama Special,Kamen Rider 1 Through RX: Big Gathering,15081
28974,Japan,1993,Movie,Kou Kou Kyoushi,14385
28977,Japan,2018,Movie,Dead Vacation,35195
28985,Japan,2019,Drama,Meiji Tokyo Renka,25362
28986,Japan,2007,Movie,Yakuza's Kindergarten,24869
28991,Japan,2008,Drama,Tokyo Shojo,4663
28992,Japan,2018,Drama,Byplayers Season 2,19830
28993,Japan,2000,Drama,Densetsu no Kyoshi,5634
28994,Japan,2009,Drama,How Do I Cope with My Husband's Depression?,11438
28995,Japan,1994,Drama,Okane ga nai!,2556
28996,Japan,2008,Drama,OL Nippon,932
28997,Japan,2016,Drama Special,Saikou no Oyako,13494
28998,Japan,2018,Drama,Shiro to Kiiro,19303
28999,Japan,2011,Drama Special,Short Cut,20298
29000,Japan,2006,Drama,5 Minutes Ago,1959
29008,Japan,2007,Movie,Tsubaki Sanjuro,1673
29020,Japan,2019,TV Show,Ride on Time Season 2,34009
29030,Japan,1962,Movie,Kurotokage,16298
29033,Japan,1968,Movie,The Human Bullet,16445
29034,Japan,1980,Movie,Zigeunerweisen,7885
29037,Japan,1955,Movie,Half Human,14553
29038,Japan,1958,Drama,Moonlight Mask,14938
29039,Japan,1958,Movie,Moonlight Mask,31939
29040,Japan,1958,Movie,Moonlight Mask - Duel to the Death in Dangerous Waters,31940
29041,Japan,1958,Movie,Moonlight Mask - The Claws of Satan,31941
29042,Japan,1959,Movie,Moonlight Mask - The Monster Kong,31942
29043,Japan,1957,Movie,Super Giant,17434
29044,Japan,1957,Movie,Super Giant - Earth on the Verge of Destruction,34891
29045,Japan,1957,Movie,Super Giant - The Mysterious Spacemen's Demonic Castle,34890
29046,Japan,1958,Movie,Super Giant - The Space Mutant Appears,34932
29047,Japan,1957,Movie,Super Giant 2,17596
29048,Japan,1959,Movie,Super Giant Continues - Kingdom of the Poison Moth,34971
29050,Japan,2011,Movie,"Girls, Gangsters & Zombies",15295
29051,Japan,1969,Movie,Kanto Gangster Woman,37247
29053,Japan,1956,Movie,Madame White Snake,14474
29062,Japan,2016,Movie,Happiness,21171
29069,Japan,2022,Movie,Egoist,47992
29073,Japan,2021,Drama Special,Kieta Hatsukoi: Start Chokuzen! Kyun ga Tomaranai yo Special,49172
29090,Japan,2007,Movie,An Eraser in My Head,13737
29091,Japan,2015,Drama Special,Damashi Banashi,13448
29092,Japan,1993,Movie,Seth et Holth,22450
29093,Japan,2022,Movie,The Takatsu River,39688
29103,Japan,2011,Movie,A Honeymoon in Hell: Mr. and Mrs. Oki's Fabulous Trip,1944
29104,Japan,2014,Drama Special,Marumo no Okite Special 2014,10242
